### Victoria Universalis IV - Brazilian Portuguese termbase.
### Tab-separated: id, translation, status, note
### status: locked (human-approved, never re-translated) | candidate (model proposal in use) | todo (undecided)
### Term ids and their English source live in localization/glossary/terms.tsv.
id	translation	status	note
national_insight	Visão Nacional	candidate	Represents accumulated state scholarship and intellectual resource without colliding with Innovation. | alternatives: Erudição Nacional, Sapiência Nacional
piety_reform	Fundo de Piedade	candidate	Frames piety as an administrative reform budget spent by the state. | alternatives: Orçamento de Piedade, Crédito de Piedade
cultural_mandate	Mandato Cultural	candidate	Reflects political authorization and cultural governance. | alternatives: Autoridade Cultural, Diretriz Cultural
era_momentum	Ímpeto da Era	candidate	Captures the temporal push and achievement energy of a specific historical age. | alternatives: Dínamo da Era, Vigor da Era
religious_settlement	Concordata Religiosa	candidate	Avoids spatial meanings entirely, focusing strictly on the political/religious modus vivendi and accord. | alternatives: Arranjo Religioso, Modus Vivendi Religioso
national_cohesion	Coesão Nacional	candidate	Standard 19th-century political term for societal and national alignment with identity. | alternatives: Unidade Nacional, Harmonia Nacional
religious_model	Modelo Religioso	candidate	Keeps the family of models unified and matches the constitutional arrangement context. | alternatives: Regime Religioso, Enquadramento Religioso
confessional_state	Estado Confessional	candidate	Standard historical terminology for a state that officially recognizes a confession of faith. | alternatives: Estado Religioso
freedom_of_conscience	Liberdade de Consciência	candidate	Established 19th-century civil-liberty phrase. | alternatives: Tolerância de Consciência
total_separation	Separação Total	candidate	Clearly denotes the institutional separation of church and state. | alternatives: Laicidade Estrita, Separacao Estado-Igreja
state_atheism	Ateísmo de Estado	candidate	Standard geopolitical term for state-sponsored secularization and atheism. | alternatives: Ateísmo Oficial
identity_model	Modelo de Identidade	candidate	Consistent model terminology that avoids personal identification cards. | alternatives: Modelo Identitário, Regime de Identidade
ethnic_nation	Nação Étnica	candidate	Clear, uncompromised term for an identity model based on primary ethnicity. | alternatives: Estado Étnico
civic_nation	Nação Cívica	candidate	Direct translation denoting a nation founded on civic participation and citizenship. | alternatives: Estado Cívico
composite_state	Estado Composto	candidate	Traditional political science term for a state comprising multiple distinct constituent entities. | alternatives: Monarquia Composta
religious_program	Programa Religioso	candidate	Maintains the family word with religious models while denoting a state reform program. | alternatives: Plano Religioso
religious_project	Projeto Religioso	candidate	Matches the project family naming convention smoothly. | alternatives: Iniciativa Religiosa
confessional_conversion	Conversão Confessional	candidate	Direct pairing of confessional state mechanics with the vanilla conversion concept. | alternatives: Prositilitismo Estatal
freedom_outreach	Ação Comunitária de Consciência	candidate	Reflects public engagement and outreach rather than territorial expansion. | alternatives: Expansão Tolerante, Propaganda de Tolerância
secularization_campaign	Campanha de Secularização	candidate	Standard administrative term for state-driven secularization efforts. | alternatives: Cruzada Secular
cultural_project	Projeto Cultural	candidate	Fits the project and identity model system nomenclature. | alternatives: Iniciativa Cultural
national_curriculum	Currículo Nacional	candidate	Period-appropriate and modern term for a unified educational syllabus. | alternatives: Plano de Estudos Nacional
shared_symbols	Símbolos Compartilhados	candidate	Fits the cultural project style while remaining clear and state-appropriate. | alternatives: Símbolos Comuns
ethnic_integration_campaign	Campanha de Integração Étnica	candidate	Accurately names a project aimed at integrating or assimilating target cultures. | alternatives: Campanha de Assimilação Étnica
