### Victoria Universalis IV - Simplified Chinese termbase.
### Tab-separated: id, translation, status, note
### status: locked (human-approved, never re-translated) | candidate (model proposal in use) | todo (undecided)
### Term ids and their English source live in localization/glossary/terms.tsv.
id	translation	status	note
national_insight	国策力	candidate	Captures the point resource for buying ideas and national planning without colliding with Innovation. | alternatives: 国家洞察, 远见力
piety_reform	虔修点	candidate	Fits the state budget/currency model for spending on religious reforms. | alternatives: 虔信度, 宗教改革点
cultural_mandate	文化赋权	candidate	Denotes political authorisation and capacity for cultural policy. | alternatives: 文化委任, 文化令
era_momentum	时代势头	candidate	Maintains the mechanical sense of momentum that resets at each Age. | alternatives: 时代动力, 时代趋势
religious_settlement	宗教协定	candidate	Avoids physical habitation entirely, denoting the political modus vivendi between state and faith. | alternatives: 宗教妥协, 政教默契
national_cohesion	民族凝聚力	candidate	Reflects how well the Identity Model fits the nation's population. | alternatives: 国民向心力, 国家凝聚度
religious_model	宗教体制	candidate	Standard 19th-century state terminology for constitutional religious frameworks. | alternatives: 宗教模式, 信仰体制
confessional_state	确信国教制	candidate	Privileges one state religion based on confession of faith. | alternatives: 专宗国体制, 定教国体制
freedom_of_conscience	良心自由	candidate	Standard historical civil-liberty phrase for tolerant religious models. | alternatives: 信仰自由, 思想自由
total_separation	完全分离	candidate	Denotes the strict separation of church and state. | alternatives: 政教彻底分离, 全面割离
state_atheism	国家无神论	candidate	Standard term for active state-sponsored secularisation and atheism. | alternatives: 世俗无神论, 政权无神论
identity_model	认同体制	candidate	The framework governing nationhood and citizenship. | alternatives: 国民模式, 族群体制
ethnic_nation	族群国家	candidate	Nationhood built primarily on a single core culture. | alternatives: 单一民族国家, 血统国族
civic_nation	公民国家	candidate	Nationhood built upon shared citizenship and civic participation. | alternatives: 契约国族, 公民国体制
composite_state	复合国家	candidate	Political term for a state composed of multiple constituent cultures/realms. | alternatives: 多宗主国, 联合王国制
religious_program	宗教纲领	candidate	Permanent state reform program under a religious model. | alternatives: 信仰规划, 宗教项目
religious_project	宗教工程	candidate	State-targeted campaign running progress under a religious model. | alternatives: 宗教议程, 信仰企划
confessional_conversion	国教化运动	candidate	The specific project of converting populations in a Confessional State. | alternatives: 信仰归宗, 强制归信
freedom_outreach	自由宣抚	candidate	Public engagement and religious provision under Freedom of Conscience. | alternatives: 开放外展, 社会宣导
secularization_campaign	世俗化运动	candidate	State Atheism project aimed at sweeping secularisation. | alternatives: 去宗教化运动, 世俗化工程
cultural_project	文化工程	candidate	Countrywide or state campaign under an Identity Model. | alternatives: 文化企划, 文化议程
national_curriculum	国民教育大纲	candidate	A shared school syllabus implemented as a cultural project. | alternatives: 国家课程, 全国学制大纲
shared_symbols	共同象征	candidate	Matches 19th-century state terminology for common national emblems and ceremonies. | alternatives: 共享标志
ethnic_integration_campaign	族群一体化运动	candidate	Reflects state-led cultural assimilation projects in the period vocabulary. | alternatives: 民族融合运动
equal_citizenship_initiative	平等公民倡议	candidate	Direct and formal translation matching civic nation concepts. | alternatives: 同等公民权倡议
constituent_compact	立宪协定	candidate	Compact implies a fundamental political pact or covenant rather than a physical size. | alternatives: 建国契约
idea_group	理念群	candidate	Matches EU4-derived doctrine trees while avoiding confusion with people or committees. | alternatives: 思想流派
embrace	采纳	candidate	Standard administrative verb for adopting a doctrine or policy. | alternatives: 接纳
idea	理念	candidate	Consistent with Idea Group and retains the structural hierarchy. | alternatives: 思想
ambition	宏愿	candidate	Classical EU4 term for the capstone bonus of a completed doctrine group. | alternatives: 抱负
doctrine	学说	candidate	Unifying umbrella term for the mod's idea system in UI and journals. | alternatives: 主义
doctrine_implementation_strain	学说推行压力	candidate	Represents administrative overload rather than physical tension. | alternatives: 学说实施负担
idea_group_capacity	理念群容量	candidate	Clear mechanical term for the number of available doctrine slots. | alternatives: 理念群栏位上限
national_idea	国家理念	candidate	Distinct from Idea Group and Idea to prevent conceptual overlap. | alternatives: 民族理念
tradition	传统	candidate	Standard state bonus granted at campaign start. | alternatives: 祖传
national_bonus	国家加成	candidate	Final capstone bonus for fully completed progression. | alternatives: 国家奖励
category_production	生产	candidate	Matches vanilla Victoria 3 category terminology. | alternatives: 经济
category_society	社会	candidate	Matches vanilla Victoria 3 category terminology. | alternatives: 内政
category_military	军事	candidate	Matches vanilla Victoria 3 category terminology. | alternatives: 武备
group_industrialist	实业派	candidate	Names the industrialist class doctrine without sounding like a generic adjective. | alternatives: 工业主义
group_mercantile	重商主义	candidate	Historical economic doctrine of trade and merchant capital. | alternatives: 商业派
group_financial	金融主义	candidate	Refers to banking, credit, and monetary policy doctrines. | alternatives: 财政派
group_infrastructure	基础设施	candidate	Covers railways, ports, and construction doctrines. | alternatives: 基建派
group_extraction	资源采掘	candidate	Refers strictly to mining and raw resource extraction, avoiding confusion with removal. | alternatives: 开采主义
group_labour	劳工	candidate	Fits the 19th-century state vocabulary for the organised labour movement doctrine. | alternatives: 工人运动
group_agrarian	农业	candidate	Standard production doctrine term for farming and rural society. | alternatives: 农本
group_academic	学术	candidate	Reflects the scholarly doctrine of universities and inquiry. | alternatives: 高等教育
