### Victoria Universalis IV - German termbase.
### Tab-separated: id, translation, status, note
### status: locked (human-approved, never re-translated) | candidate (model proposal in use) | todo (undecided)
### Term ids and their English source live in localization/glossary/terms.tsv.
id	translation	status	note
national_insight	Nationaleinsicht	candidate	Combines national scale with intellectual insight, distinct from Innovation. | alternatives: Staatsdringlichkeit, Wissenskapital
piety_reform	Frömmigkeitsfonds	candidate	Represents the spendable state currency for religious reform. | alternatives: Religionsbudget, Kirchenfonds
cultural_mandate	Kulturmandat	candidate	Authorisation and currency for cultural statecraft. | alternatives: Kulturkapital, Kulturressource
era_momentum	Epochenschwung	candidate	Captures the political and historical momentum of an age. | alternatives: Zeitalterdynamik, Epochendynamik
religious_settlement	Religiöser Ausgleich	candidate	Uses the historical 19th-century political term Ausgleich for arrangement. | alternatives: Konfessioneller Modus vivendi, Kirchenfrieden
national_cohesion	Nationaler Zusammenhalt	candidate	Standard German administrative term for social and national cohesion. | alternatives: Nationale Kohäsion, Volksverbundenheit
religious_model	Religionsmodell	candidate	Direct translation matching the requested family of terms. | alternatives: Kirchenmodell, Konfessionsmodell
confessional_state	Konfessioneller Staat	candidate	Reflects a state tied to a specific confession of faith. | alternatives: Staatskonfession, Kirchenstaat
freedom_of_conscience	Gewissensfreiheit	candidate	The standard historical 19th-century civil liberty term. | alternatives: Glaubens- und Gewissensfreiheit
total_separation	Vollständige Trennung	candidate	Reflects the absolute separation of church and state. | alternatives: Radikale Trennung, Gänzliche Trennung
state_atheism	Staatsatheismus	candidate	Standard political term for state-mandated secularism or atheism. | alternatives: Militanter Atheismus, Säkularistischer Staat
identity_model	Identitätsmodell	candidate	Direct translation keeping the model word family intact. | alternatives: Nationsmodell, Staatsethos
ethnic_nation	Ethnische Nation	candidate	Matches the concept of a nation built on primary culture and heritage. | alternatives: Volksnation, Abstammungsnation
civic_nation	Staatsbürgernation	candidate	Standard political science term for a nation founded on citizenship. | alternatives: Zivile Nation, Bürgernahme
composite_state	Gesamtstaat	candidate	Historical administrative term for a state comprising multiple distinct realms or cultures. | alternatives: Verbundstaat, Kompaginationsstaat
religious_program	Religiöses Programm	candidate	Follows the required word family for administrative reforms. | alternatives: Kirchenprogramm, Konfessionsprogramm
religious_project	Religiöses Projekt	candidate	Direct and unambiguous system term. | alternatives: Kirchliches Vorhaben, Kirchenprojekt
confessional_conversion	Konfessionelle Bekehrung	candidate	Combines confessional policy with the existing conversion term. | alternatives: Glaubenslenkung, Bekenntniswechsel
freedom_outreach	Öffentlichkeitsarbeit für Gewissensfreiheit	candidate	Captures the proactive outreach meaning in state policy. | alternatives: Toleranzpropaganda, Freiheitsmission
secularization_campaign	Säkularisierungskampagne	candidate	Direct translation of an active state campaign. | alternatives: Entkirchlichungskampagne, Säkularisationsfeldzug
cultural_project	Kulturprojekt	candidate	Fits the project system family cleanly. | alternatives: Kulturvorhaben, Kulturkampagne
national_curriculum	Nationaler Lehrplan	candidate	Standard historical and modern term for a unified educational syllabus. | alternatives: Reichslehrplan, Einheitsschulplan
shared_symbols	Gemeinsame Symbole	candidate	Direct translation fitting 19th-century state terminology for cultural ceremonies. | alternatives: Nationale Symbole
ethnic_integration_campaign	Eingliederungskampagne	candidate	Captures the administrative campaign nature of cultural assimilation. | alternatives: Kampagne zur ethnischen Integration
equal_citizenship_initiative	Gleichberechtigungsinitiative	candidate	Standard 19th-century administrative vocabulary for civic equality. | alternatives: Initiative für gleiche Staatsbürgerschaft
constituent_compact	Staatspakt	candidate	Compact as a fundamental political covenant forming a composite state. | alternatives: Verfassungspakt
idea_group	Doktrinengruppe	candidate	Reflects a school of doctrine rather than a committee or people. | alternatives: Lehrgruppe
embrace	Annehmen	candidate	Standard state verb for officially adopting a policy or doctrine. | alternatives: Übernehmen
idea	Doktrin	candidate	Keeps the doctrinal family consistent across the idea system. | alternatives: Grundsatz
ambition	Krönung	candidate	Represents the crowning effect of a completed doctrine tree. | alternatives: Vollendung
doctrine	Doktrin	candidate	Unified umbrella term for the mod's entire doctrine system. | alternatives: Lehre
doctrine_implementation_strain	Doktrinenumsetzungslast	candidate	Denotes administrative overload rather than physical tension. | alternatives: Verwaltungsbelastung
idea_group_capacity	Doktrinengruppenkapazität	candidate	Clear mechanical term indicating slots available for doctrine groups. | alternatives: Doktrinenkapazität
national_idea	Nationale Doktrin	candidate	Keeps it distinct from Idea Group and Idea while using the family word. | alternatives: Landesdoktrin
tradition	Tradition	candidate	Direct period-appropriate term for starting country bonuses. | alternatives: Hergebrachte Eigenschaft
national_bonus	Nationaler Bonus	candidate	Standard paradox-style UI term for final campaign completion bonuses. | alternatives: Staatsbonus
category_production	Produktion	candidate	Matches vanilla Victoria 3 production category terminology. | alternatives: Wirtschaft
