### Victoria Universalis IV - Spanish termbase.
### Tab-separated: id, translation, status, note
### status: locked (human-approved, never re-translated) | candidate (model proposal in use) | todo (undecided)
### Term ids and their English source live in localization/glossary/terms.tsv.
id	translation	status	note
national_insight	Perspicacia nacional	candidate	Captures the sense of intellectual and scholarly advancement without colliding with Innovation. | alternatives: Sabiduría nacional, Erudición nacional
piety_reform	Reforma piadosa	candidate	Denotes a state budget or allocation dedicated to religious reforms. | alternatives: Fondo de piedad
cultural_mandate	Mandato cultural	candidate	Reflects political authorization for identity and cultural action. | alternatives: Directiva cultural
era_momentum	Ímpetu de era	candidate	Period-appropriate term for age-scoped progress and momentum. | alternatives: Dinámica de era, Impulso de era
religious_settlement	Arreglo religioso	candidate	Avoids any geographical meaning and refers strictly to the political-religious modus vivendi. | alternatives: Avenencia religiosa, Modus vivendi religioso
national_cohesion	Cohesión nacional	candidate	Matches the concept of how well the Identity Model fits the populace. | alternatives: Unidad nacional
religious_model	Modelo religioso	candidate	Standard institutional term for a constitutional framework. | alternatives: Esquema religioso
confessional_state	Estado confesional	candidate	The exact historical term for a state with an official confession of faith. | alternatives: Confesionalidad estatal
freedom_of_conscience	Libertad de conciencia	candidate	Established 19th-century civil-liberty phrase in Spanish. | alternatives: Tolerancia de conciencia
total_separation	Separación total	candidate	Clear, concise institutional term for complete church-state separation. | alternatives: Separación absoluta
state_atheism	Ateísmo de Estado	candidate	Standard political science term for active secularization policies. | alternatives: Ateísmo estatal
identity_model	Modelo de identidad	candidate	Maintains the family word with religious model while naming the nationhood framework. | alternatives: Esquema identitario
ethnic_nation	Nación étnica	candidate	Direct and clear representation of an identity model built on primary culture. | alternatives: Estado étnico
civic_nation	Nación cívica	candidate	Direct and clear representation of an identity model built on citizenship. | alternatives: Estado cívico
composite_state	Estado compuesto	candidate	Period-appropriate political term for a state encompassing several constituent cultures or realms. | alternatives: Monarquía compuesta, Estado complejo
religious_program	Programa religioso	candidate	Keeps the word family with Religious Model and Religious Project. | alternatives: Plan religioso
religious_project	Proyecto religioso	candidate	Maintains consistency within the religious mechanics term family. | alternatives: Campaña religiosa
