### Victoria Universalis IV - French termbase.
### Tab-separated: id, translation, status, note
### status: locked (human-approved, never re-translated) | candidate (model proposal in use) | todo (undecided)
### Term ids and their English source live in localization/glossary/terms.tsv.
id	translation	status	note
national_insight	Perspicacité nationale	candidate	Administrative and scholarly point resource representing intellectual preparedness. | alternatives: Savoir national, Érudition nationale
piety_reform	Fonds de réforme pieuse	candidate	Names a state reform budget spent on religious systems rather than personal virtue. | alternatives: Réserve de piété, Crédit pieux
cultural_mandate	Mandat culturel	candidate	Political authorisation for cultural policy and identity changes. | alternatives: Autorité culturelle
era_momentum	Élan de l’époque	candidate	Age-scoped progression currency representing historical momentum. | alternatives: Dynamisme de l’ère
religious_settlement	Arrangement religieux	candidate	Refers to the modus vivendi or accord between state and faith, avoiding physical settlements. | alternatives: Modus vivendi religieux, Concordat tacite
national_cohesion	Cohésion nationale	candidate	Measures how well the identity model fits the social fabric of the population. | alternatives: Unité nationale
religious_model	Modèle religieux	candidate	Constitutional framework governing church and state relations. | alternatives: Régime religieux
confessional_state	État confessionnel	candidate	Standard historical term for a state with an official confession of faith. | alternatives: État confessionnalisé
freedom_of_conscience	Liberté de conscience	candidate	Established 19th-century civil-liberty phrase. | alternatives: Liberté des cultes
total_separation	Séparation totale	candidate	Full separation of religion and state. | alternatives: Laïcité intégrale
state_atheism	Athéisme d’État	candidate	Active state policy of secularisation and state atheism. | alternatives: Sécularisation militante
identity_model	Modèle identitaire	candidate	The constitutional framework defining nationhood. | alternatives: Modèle national
ethnic_nation	Nation ethnique	candidate	Identity model built primarily on common ancestry and culture. | alternatives: État-nation ethnique
civic_nation	Nation civique	candidate	Identity model built on shared citizenship and civic participation. | alternatives: République civique
composite_state	État composite	candidate	Historical political term for a state comprising multiple distinct constituent cultures. | alternatives: Monarchie composite, État pluriel
religious_program	Programme religieux	candidate	State reform program under a religious model. | alternatives: Plan religieux
religious_project	Projet religieux	candidate	Targeted state campaign under a religious model. | alternatives: Entreprise religieuse
confessional_conversion	Conversion confessionnelle	candidate	Religious project aimed at shifting the population's faith confession. | alternatives: Prosélytisme d’État
freedom_outreach	Rayonnement tolérant	candidate	Public engagement and social provision under freedom of conscience. | alternatives: Œuvre de concorde
secularization_campaign	Campagne de laïcisation	candidate	Project representing active state secularization. | alternatives: Campagne de sécularisation
cultural_project	Projet culturel	candidate	Countrywide or state-targeted campaign under an identity model. | alternatives: Campagne culturelle
national_curriculum	Programme d’enseignement national	candidate	Shared state-mandated school syllabus. | alternatives: Curriculum national, Programme scolaire national
