### Victoria Universalis IV - Russian termbase.
### Tab-separated: id, translation, status, note
### status: locked (human-approved, never re-translated) | candidate (model proposal in use) | todo (undecided)
### Term ids and their English source live in localization/glossary/terms.tsv.
id	translation	status	note
national_insight	Национальный опыт	candidate	Captures the administrative and scholarly accumulation of ideas, distinct from vanilla Innovation. | alternatives: Государственная мысль, Национальное постижение
piety_reform	Религиозное усердие	candidate	Refers to a political resource spent on religious reforms rather than personal virtue. | alternatives: Благочестивый фонд, Религиозный капитал
cultural_mandate	Культурный мандат	candidate	Political authorisation for cultural reforms and projects. | alternatives: Культурные полномочия
era_momentum	Дыхание эпохи	candidate	Age-scoped currency representing historical drive. | alternatives: Импульс эпохи, Дух эпохи
religious_settlement	Религиозный компромисс	candidate	Modus vivendi between state and faith, avoiding any meaning of physical settlement or colony. | alternatives: Церковный лад, Вероисповедный уклад
national_cohesion	Национальное единение	candidate	Measures how well the Identity Model fits the populace. | alternatives: Национальная сплоченность
religious_model	Религиозная модель	candidate	Framework set by church and state law. | alternatives: Вероисповедная модель
confessional_state	Конфессиональное государство	candidate	Standard historical term for a state with a privileged religion. | alternatives: Государственная конфессия
freedom_of_conscience	Свобода совести	candidate	Standard 19th-century civil-liberty phrase.
total_separation	Полное отделение	candidate	Refers to the separation of church and state. | alternatives: Строгий секуляризм
state_atheism	Государственный атеизм	candidate	Active state policy of secularisation. | alternatives: Воинствующий атеизм
identity_model	Модель идентичности	candidate	Framework defining nationhood. | alternatives: Национальная модель
ethnic_nation	Этническая нация	candidate	Nationhood built around a single primary culture. | alternatives: Этногосударство
civic_nation	Гражданская нация	candidate	Nationhood built on shared citizenship. | alternatives: Гражданское общество
composite_state	Составное государство	candidate	Political term for a state of several constituent parts. | alternatives: Комплексное государство
religious_program	Религиозная программа	candidate	Permanent reform available under a religious model. | alternatives: Церковная программа
religious_project	Религиозный проект	candidate	State-targeted campaign under a religious model. | alternatives: Церковный проект
confessional_conversion	Конфессиональное обращение	candidate	Project of the Confessional State that converts population. | alternatives: Вероисповедное обращение
freedom_outreach	Церковное просвещение	candidate	Public engagement and religious provision under Freedom of Conscience. | alternatives: Религиозная деятельность, Духовное окормление
secularization_campaign	Кампания секуляризации	candidate	Project of State Atheism. | alternatives: Антирелигиозная кампания
cultural_project	Культурный проект	candidate	Countrywide or state-targeted campaign under an Identity Model. | alternatives: Культурная инициатива
national_curriculum	Национальная учебная программа	candidate	Shared school syllabus across the country. | alternatives: Школьная программа, Единый учебный план
shared_symbols	Общие символы	candidate	Direct and standard state terminology for common national symbols. | alternatives: Общественные символы
ethnic_integration_campaign	Кампания этнической интеграции	candidate	Fits the campaign format and matches vanilla assimilation themes. | alternatives: Кампания национальной интеграции
equal_citizenship_initiative	Инициатива равного гражданства	candidate	Accurately captures civic nationalism and acceptance increase. | alternatives: Инициатива равноправия граждан
constituent_compact	Учредительный пакт	candidate	Compact translated as pact/treaty in a political context, avoiding size confusion. | alternatives: Конституционный пакт, Учредительный договор
idea_group	Группа идей	candidate	Maintains familiarity with EU4-derived terminology while fitting the 19th-century context. | alternatives: Направление доктрин, Школа доктрин
embrace	Принять	candidate	Standard administrative verb for adopting a policy or doctrine. | alternatives: Одобрить, Внедрить
idea	Идея	candidate	Keeps the exact 1-to-1 concept level for roman-numeral progression. | alternatives: Догма
ambition	Стремление	candidate	Period-appropriate term for a crowning systemic goal or national objective. | alternatives: Амбиция
doctrine	Доктрина	candidate	Unified umbrella term for the entire idea/policy framework. | alternatives: Принцип
doctrine_implementation_strain	Нагрузка от внедрения доктрины	candidate	Reflects administrative overload and strain correctly. | alternatives: Административное напряжение доктрины
idea_group_capacity	Вместимость групп идей	candidate	Clear representation of slot limits for doctrine trees. | alternatives: Ли по групп идей
national_idea	Национальная идея	candidate	Distinguished clearly from Idea Group and Idea. | alternatives: Государственная идея
tradition	Традиция	candidate	Standard paradox terminology for starting national bonuses. | alternatives: Обычай
national_bonus	Национальный бонус	candidate	Direct and clear nomenclature for the final bonus. | alternatives: Государственная премия
category_production	Производство	candidate	Matches vanilla Victoria 3 production category. | alternatives: Экономика
